2500.00 1.17 -5.25 -21.83
2500.01 1.16 -5.26 -21.83
2500.02 1.16 -5.26 -21.84
2500.03 1.16 -5.27 -21.84
2500.04 1.15 -5.27 -21.85
2500.05 1.15 -5.27 -21.85
2500.06 1.14 -5.28 -21.85
2500.07 1.14 -5.28 -21.85
2500.08 1.13 -5.28 -21.85
2500.09 1.12 -5.28 -21.85
2500.10 1.12 -5.28 -21.85
2500.11 1.11 -5.28 -21.85
2500.12 1.11 -5.28 -21.85
2500.13 1.10 -5.28 -21.85
2500.14 1.10 -5.28 -21.85
2500.15 1.09 -5.27 -21.84
2500.16 1.09 -5.27 -21.84
2500.17 1.08 -5.27 -21.83
2500.18 1.08 -5.26 -21.83
2500.19 1.07 -5.26 -21.82
2500.20 1.06 -5.25 -21.82
2500.21 1.06 -5.24 -21.81
2500.22 1.05 -5.24 -21.80
2500.23 1.05 -5.23 -21.80
2500.24 1.04 -5.22 -21.79
2500.25 1.04 -5.21 -21.78
2500.26 1.03 -5.21 -21.77
2500.27 1.03 -5.20 -21.76
2500.28 1.03 -5.19 -21.75
2500.29 1.02 -5.18 -21.74
2500.30 1.02 -5.17 -21.73
2500.31 1.01 -5.16 -21.72
2500.32 1.01 -5.15 -21.71
2500.33 1.01 -5.14 -21.70
2500.34 1.00 -5.13 -21.69
2500.35 1.00 -5.12 -21.68
2500.36 1.00 -5.11 -21.67
2500.37 1.00 -5.09 -21.66
2500.38 1.00 -5.08 -21.64
2500.39 0.99 -5.07 -21.63
2500.40 0.99 -5.06 -21.62
2500.41 0.99 -5.05 -21.61
2500.42 0.99 -5.04 -21.60
2500.43 0.99 -5.03 -21.59
2500.44 0.99 -5.02 -21.58
2500.45 0.99 -5.01 -21.56
2500.46 0.99 -4.99 -21.55
2500.47 0.99 -4.98 -21.54
2500.48 1.00 -4.97 -21.53
2500.49 1.00 -4.96 -21.52
2500.50 1.00 -4.95 -21.51
2500.51 1.00 -4.94 -21.50
2500.52 1.01 -4.94 -21.50
2500.53 1.01 -4.93 -21.49
2500.54 1.01 -4.92 -21.48
2500.55 1.02 -4.91 -21.47
2500.56 1.02 -4.90 -21.47
2500.57 1.03 -4.90 -21.46
2500.58 1.03 -4.89 -21.46
2500.59 1.04 -4.89 -21.45
2500.60 1.04 -4.88 -21.45
2500.61 1.05 -4.88 -21.44
2500.62 1.05 -4.87 -21.44
2500.63 1.06 -4.87 -21.44
2500.64 1.06 -4.87 -21.44
2500.65 1.07 -4.87 -21.44
2500.66 1.08 -4.86 -21.44
2500.67 1.08 -4.86 -21.44
2500.68 1.09 -4.86 -21.44
2500.69 1.09 -4.87 -21.44
2500.70 1.10 -4.87 -21.44
2500.71 1.11 -4.87 -21.45
2500.72 1.11 -4.87 -21.45
2500.73 1.12 -4.88 -21.46
2500.74 1.13 -4.88 -21.46
2500.75 1.13 -4.89 -21.47
2500.76 1.14 -4.89 -21.47
2500.77 1.14 -4.90 -21.48
2500.78 1.15 -4.90 -21.49
2500.79 1.15 -4.91 -21.50
2500.80 1.16 -4.92 -21.50
2500.81 1.16 -4.93 -21.51
2500.82 1.17 -4.94 -21.52
2500.83 1.17 -4.94 -21.53
2500.84 1.18 -4.95 -21.54
2500.85 1.18 -4.96 -21.55
2500.86 1.18 -4.97 -21.56
2500.87 1.19 -4.99 -21.57
2500.88 1.19 -5.00 -21.59
2500.89 1.19 -5.01 -21.60
2500.90 1.20 -5.02 -21.61
2500.91 1.20 -5.03 -21.62
2500.92 1.20 -5.04 -21.63
2500.93 1.20 -5.05 -21.64
2500.94 1.20 -5.06 -21.65
2500.95 1.20 -5.08 -21.67
2500.96 1.20 -5.09 -21.68
2500.97 1.20 -5.10 -21.69
2500.98 1.20 -5.11 -21.70
2500.99 1.20 -5.12 -21.71
